Race_White,Age,Gender_Male,Undergraduate,Full-Time,Program_Label,GPA,Engagements,Internships,Industry_Label,From_Utah,Program_Score,Industry_Score,Job_Placement
0,20,0,1,1,Information Systems,3.27,6,1,Leisure & Hospitality,1,0.9,-0.8,0
1,27,1,1,1,Data Analytics,3.48,10,3,Healthcare & Social Assistance,1,1.0,1.0,1
1,22,0,1,1,Information Systems,3.86,4,1,Information (Tech Sector),0,0.9,-0.5,1
1,30,1,1,1,Business,3.11,1,1,Professional & Business Services,0,0.5,0.0,1
1,27,0,0,1,Accounting,3.5,10,1,Financial Activities,0,0.9,0.5,1
1,23,0,1,0,Business,3.72,8,2,Transportation & Warehousing,1,0.5,0.8,1
1,28,1,1,1,Data Analytics,3.78,4,3,Construction,0,1.0,0.7,1
1,24,1,0,1,International Business,3.72,10,1,Construction,1,0.3,0.7,1
1,27,1,1,1,Business Administration,3.07,3,1,Manufacturing,1,0.4,-0.6,1
1,25,0,1,1,Marketing,3.84,4,2,Professional & Business Services,0,0.6,0.0,1
1,21,0,1,1,Finance,3.52,6,3,Healthcare & Social Assistance,0,0.7,1.0,1
0,22,0,0,1,Finance,3.17,3,1,Professional & Business Services,1,0.7,0.0,0
1,27,1,0,0,Management,3.49,7,2,Information (Tech Sector),1,0.5,-0.5,1
1,23,0,1,0,Management,2.91,2,1,Retail Trade,1,0.5,-0.2,0
1,23,0,1,1,Data Analytics,3.67,1,2,Financial Activities,1,1.0,0.5,0
1,21,0,1,1,Management,3.46,5,2,Leisure & Hospitality,0,0.5,-0.8,1
1,25,0,1,1,Finance,3.12,6,1,Educational Services,1,0.7,0.4,1
1,30,1,1,0,Business,3.41,1,2,Leisure & Hospitality,0,0.5,-0.8,1
1,21,1,1,0,Marketing,3.29,10,3,Healthcare & Social Assistance,0,0.6,1.0,1
0,24,0,1,1,Finance,3.31,6,1,Professional & Business Services,1,0.7,0.0,1
1,28,0,0,1,Business,2.82,2,1,Leisure & Hospitality,1,0.5,-0.8,1
1,24,1,1,0,International Business,3.0,3,1,Transportation & Warehousing,1,0.3,0.8,0
1,25,1,1,1,Data Analytics,3.43,8,1,Leisure & Hospitality,1,1.0,-0.8,1
1,21,1,1,1,Economics,3.38,5,2,Information (Tech Sector),1,0.6,-0.5,1
1,25,1,0,0,International Business,3.79,2,1,Leisure & Hospitality,1,0.3,-0.8,1
1,23,1,1,1,International Business,3.31,1,2,Transportation & Warehousing,0,0.3,0.8,0
1,27,0,1,1,Finance,3.34,4,1,Educational Services,1,0.7,0.4,0
1,28,0,1,1,Data Analytics,3.36,3,3,Educational Services,0,1.0,0.4,1
1,32,1,1,1,Accounting,3.44,7,1,Transportation & Warehousing,1,0.9,0.8,1
1,26,1,0,1,Information Systems,3.53,9,0,Professional & Business Services,0,0.9,0.0,1
1,25,1,1,1,International Business,3.38,2,0,Financial Activities,0,0.3,0.5,0
1,25,1,1,1,Management,3.67,9,3,Retail Trade,1,0.5,-0.2,1
1,23,0,1,1,Business,4.19,9,1,Healthcare & Social Assistance,0,0.5,1.0,1
1,25,0,1,0,Accounting,3.25,9,0,Manufacturing,0,0.9,-0.6,1
1,23,1,0,1,Data Analytics,3.62,10,3,Construction,0,1.0,0.7,1
0,25,0,1,1,Economics,3.51,8,3,Professional & Business Services,0,0.6,0.0,1
1,28,0,1,1,Marketing,3.81,6,2,Leisure & Hospitality,1,0.6,-0.8,1
1,21,0,1,1,Accounting,3.56,4,1,Construction,1,0.9,0.7,0
1,27,1,1,1,Economics,3.28,5,1,Construction,1,0.6,0.7,1
1,28,0,0,1,Finance,3.15,9,2,Transportation & Warehousing,1,0.7,0.8,1
1,24,1,1,0,Business Administration,3.68,3,1,Government,0,0.4,-0.7,1
1,18,1,0,1,Information Systems,3.17,2,0,Financial Activities,0,0.9,0.5,0
1,22,1,0,0,Finance,3.86,1,1,Retail Trade,1,0.7,-0.2,0
0,28,1,1,0,Data Analytics,3.67,8,3,Retail Trade,0,1.0,-0.2,1
1,24,1,1,1,Business Administration,3.53,8,0,Government,0,0.4,-0.7,1
1,21,1,1,1,Economics,3.11,5,2,Healthcare & Social Assistance,1,0.6,1.0,1
0,22,1,1,0,Business Administration,3.7,3,1,Government,1,0.4,-0.7,0
1,27,0,1,0,Marketing,3.99,7,2,Financial Activities,1,0.6,0.5,1
1,26,0,1,1,Management,3.37,0,2,Manufacturing,0,0.5,-0.6,1
0,23,1,1,1,Management,3.28,6,1,Manufacturing,0,0.5,-0.6,1
1,23,0,1,1,Finance,3.47,4,1,Transportation & Warehousing,1,0.7,0.8,1
1,23,0,1,0,Finance,3.64,10,2,Leisure & Hospitality,1,0.7,-0.8,1
0,21,0,1,1,Data Analytics,3.34,5,1,Construction,0,1.0,0.7,1
1,29,1,1,1,Data Analytics,3.77,6,2,Retail Trade,0,1.0,-0.2,1
1,23,0,1,0,Business,4.07,7,2,Retail Trade,0,0.5,-0.2,1
1,28,0,0,1,Marketing,3.6,5,2,Government,0,0.6,-0.7,1
1,29,0,1,1,Data Analytics,3.4,2,1,Government,1,1.0,-0.7,1
1,27,1,0,1,International Business,3.63,5,1,Government,1,0.3,-0.7,1
0,23,1,1,0,Marketing,3.85,9,2,Healthcare & Social Assistance,1,0.6,1.0,1
1,25,0,1,1,Business,3.55,4,0,Government,0,0.5,-0.7,0
1,24,1,1,1,Management,3.65,7,3,Leisure & Hospitality,1,0.5,-0.8,1
1,21,1,1,1,Accounting,3.71,10,3,Construction,0,0.9,0.7,1
1,25,1,1,1,Business,3.24,8,0,Professional & Business Services,1,0.5,0.0,1
1,20,0,1,1,Business,3.64,7,0,Professional & Business Services,0,0.5,0.0,1
1,28,0,1,1,Finance,3.1,7,1,Leisure & Hospitality,1,0.7,-0.8,1
0,23,1,1,1,Information Systems,3.3,9,3,Information (Tech Sector),1,0.9,-0.5,1
1,25,0,1,0,Business Administration,3.84,10,1,Manufacturing,0,0.4,-0.6,1
1,25,1,0,0,Management,3.76,10,1,Professional & Business Services,1,0.5,0.0,1
1,23,0,1,1,Economics,3.42,6,2,Healthcare & Social Assistance,0,0.6,1.0,1
1,26,0,1,1,Economics,4.01,4,1,Information (Tech Sector),1,0.6,-0.5,1
0,23,0,1,1,Data Analytics,3.11,1,1,Educational Services,1,1.0,0.4,0
0,27,0,0,0,Management,3.44,4,1,Healthcare & Social Assistance,0,0.5,1.0,0
1,20,1,0,1,International Business,3.58,9,2,Retail Trade,0,0.3,-0.2,1
1,24,0,1,1,Data Analytics,2.66,9,0,Professional & Business Services,1,1.0,0.0,1
1,30,1,0,1,Data Analytics,3.45,5,2,Manufacturing,0,1.0,-0.6,1
1,21,0,1,1,Business,3.16,5,3,Government,1,0.5,-0.7,1
1,22,0,1,1,Management,3.17,3,2,Government,1,0.5,-0.7,0
1,26,0,0,1,Business Administration,3.42,5,2,Construction,1,0.4,0.7,1
1,25,1,0,1,Data Analytics,2.95,7,0,Manufacturing,1,1.0,-0.6,1
1,25,0,1,1,Information Systems,3.26,4,1,Retail Trade,1,0.9,-0.2,1
1,25,1,0,1,Marketing,2.96,2,0,Transportation & Warehousing,1,0.6,0.8,0
0,26,1,1,1,International Business,3.54,5,2,Professional & Business Services,1,0.3,0.0,1
1,27,0,0,1,International Business,3.53,2,1,Construction,0,0.3,0.7,1
1,25,1,1,1,Data Analytics,3.4,10,1,Manufacturing,1,1.0,-0.6,1
1,23,0,1,1,Information Systems,3.8,4,0,Educational Services,0,0.9,0.4,0
0,26,1,1,1,Marketing,3.41,9,1,Healthcare & Social Assistance,0,0.6,1.0,1
1,30,1,1,1,Accounting,3.49,2,2,Retail Trade,1,0.9,-0.2,1
1,24,0,1,1,Finance,3.23,2,2,Manufacturing,1,0.7,-0.6,0
1,21,1,1,1,Finance,2.81,6,0,Professional & Business Services,1,0.7,0.0,0
1,27,1,1,1,Finance,3.46,8,2,Healthcare & Social Assistance,0,0.7,1.0,1
1,24,0,1,0,Business,3.42,6,1,Manufacturing,1,0.5,-0.6,1
1,17,1,1,1,International Business,4.01,2,2,Leisure & Hospitality,1,0.3,-0.8,0
1,27,0,1,1,Economics,3.7,0,2,Construction,0,0.6,0.7,1
1,22,1,1,1,Economics,3.38,6,1,Manufacturing,0,0.6,-0.6,1
1,24,0,1,1,Business,3.54,1,1,Leisure & Hospitality,1,0.5,-0.8,0
1,25,0,0,1,Data Analytics,3.77,3,2,Healthcare & Social Assistance,1,1.0,1.0,1
1,25,0,0,1,Management,3.66,7,3,Healthcare & Social Assistance,0,0.5,1.0,1
1,26,1,1,1,Management,4.0,1,2,Financial Activities,0,0.5,0.5,0
1,23,0,1,1,Finance,3.26,1,2,Healthcare & Social Assistance,1,0.7,1.0,0
1,26,0,1,1,Management,3.79,1,2,Transportation & Warehousing,1,0.5,0.8,0
1,23,0,1,0,Data Analytics,3.37,10,2,Manufacturing,0,1.0,-0.6,1
1,26,1,1,0,Accounting,3.56,4,2,Leisure & Hospitality,0,0.9,-0.8,1
1,26,0,0,1,Business,3.33,9,1,Government,0,0.5,-0.7,1
1,21,0,1,1,Accounting,3.46,3,2,Financial Activities,1,0.9,0.5,1
1,27,1,1,1,International Business,3.56,8,2,Financial Activities,0,0.3,0.5,1
1,22,1,1,1,Management,3.68,2,2,Educational Services,1,0.5,0.4,1
1,26,0,0,1,Marketing,3.52,5,1,Financial Activities,1,0.6,0.5,1
1,25,1,1,1,Finance,2.75,8,0,Educational Services,0,0.7,0.4,1
1,30,0,1,1,Business,3.48,8,2,Leisure & Hospitality,1,0.5,-0.8,1
0,23,0,1,1,Finance,3.94,8,2,Government,0,0.7,-0.7,1
1,23,0,1,1,Management,3.47,8,3,Retail Trade,1,0.5,-0.2,1
1,24,1,1,1,Business Administration,3.95,2,1,Transportation & Warehousing,0,0.4,0.8,1
1,23,1,1,0,Management,3.46,5,0,Leisure & Hospitality,1,0.5,-0.8,0
0,26,0,0,1,Business,3.03,5,0,Professional & Business Services,0,0.5,0.0,1
0,19,1,1,1,Economics,3.37,9,2,Construction,1,0.6,0.7,1
1,21,0,1,1,Business,3.33,3,0,Construction,0,0.5,0.7,0
1,21,1,1,1,Information Systems,3.43,9,3,Financial Activities,0,0.9,0.5,1
1,27,1,1,1,Marketing,3.14,5,1,Financial Activities,1,0.6,0.5,1
1,29,1,1,1,Management,3.5,7,3,Information (Tech Sector),1,0.5,-0.5,1
1,24,1,1,1,Information Systems,3.4,3,2,Financial Activities,1,0.9,0.5,0
1,23,0,1,1,Economics,3.89,4,3,Educational Services,0,0.6,0.4,1
1,24,1,0,1,Data Analytics,3.14,7,1,Healthcare & Social Assistance,1,1.0,1.0,1
0,27,1,1,1,Data Analytics,3.57,5,2,Professional & Business Services,1,1.0,0.0,1
0,21,1,1,1,Marketing,3.62,9,0,Retail Trade,1,0.6,-0.2,1
1,25,1,0,1,International Business,3.73,7,1,Government,0,0.3,-0.7,1
1,27,1,1,1,Marketing,3.39,6,1,Retail Trade,1,0.6,-0.2,0
1,26,0,1,1,Marketing,3.57,9,2,Financial Activities,1,0.6,0.5,1
1,25,1,1,0,Marketing,3.61,7,0,Educational Services,0,0.6,0.4,1
0,27,1,1,1,Marketing,3.01,6,3,Healthcare & Social Assistance,0,0.6,1.0,1
0,16,1,0,1,Marketing,3.4,2,0,Government,1,0.6,-0.7,0
1,26,0,1,1,Accounting,3.49,4,1,Leisure & Hospitality,0,0.9,-0.8,1
1,22,1,1,0,Economics,3.53,7,0,Information (Tech Sector),0,0.6,-0.5,1
1,19,1,1,0,Business,3.52,9,2,Government,1,0.5,-0.7,0
1,26,0,1,1,Management,3.63,3,0,Educational Services,1,0.5,0.4,1
0,28,1,1,1,Information Systems,4.08,2,3,Retail Trade,0,0.9,-0.2,1
1,24,1,1,1,Marketing,3.32,6,2,Construction,1,0.6,0.7,1
1,27,1,0,1,International Business,3.61,1,3,Retail Trade,1,0.3,-0.2,1
1,29,0,0,1,Finance,3.89,7,1,Retail Trade,1,0.7,-0.2,1
1,28,1,1,1,Management,2.96,7,1,Retail Trade,0,0.5,-0.2,1
1,29,0,1,1,Finance,3.58,4,2,Information (Tech Sector),1,0.7,-0.5,1
1,26,0,0,1,Information Systems,3.0,9,2,Educational Services,0,0.9,0.4,1
1,24,1,1,0,Information Systems,4.16,5,1,Professional & Business Services,1,0.9,0.0,1
1,19,1,1,1,Management,3.66,6,3,Information (Tech Sector),0,0.5,-0.5,1
1,23,1,1,1,International Business,3.62,2,0,Financial Activities,0,0.3,0.5,0
1,21,0,0,1,Accounting,2.94,4,2,Information (Tech Sector),1,0.9,-0.5,0
1,31,1,0,0,Data Analytics,3.35,9,1,Educational Services,0,1.0,0.4,1
1,23,1,1,0,Information Systems,3.35,2,0,Transportation & Warehousing,1,0.9,0.8,1
1,24,1,1,1,International Business,4.03,4,1,Information (Tech Sector),0,0.3,-0.5,0
1,26,0,1,1,Information Systems,3.72,3,3,Government,1,0.9,-0.7,1
1,24,1,1,0,Business Administration,3.0,2,3,Transportation & Warehousing,1,0.4,0.8,0
1,29,0,1,1,Data Analytics,3.64,3,1,Financial Activities,0,1.0,0.5,1
1,22,1,0,1,Information Systems,3.05,2,3,Educational Services,0,0.9,0.4,1
1,25,1,1,0,International Business,3.01,9,2,Manufacturing,1,0.3,-0.6,1
1,22,1,0,1,Information Systems,3.64,7,2,Manufacturing,1,0.9,-0.6,1
1,20,1,1,1,Finance,3.72,3,0,Professional & Business Services,1,0.7,0.0,0
1,22,1,1,0,Management,3.64,8,2,Leisure & Hospitality,0,0.5,-0.8,1
1,24,1,1,1,Management,4.06,0,0,Information (Tech Sector),1,0.5,-0.5,0
0,23,0,1,1,Information Systems,3.61,5,1,Retail Trade,1,0.9,-0.2,1
1,22,0,1,1,International Business,3.55,3,2,Leisure & Hospitality,1,0.3,-0.8,0
0,20,0,0,1,Finance,3.14,1,2,Leisure & Hospitality,0,0.7,-0.8,0
1,24,1,0,1,Accounting,3.76,9,2,Transportation & Warehousing,1,0.9,0.8,1
1,19,1,1,1,Accounting,3.0,2,3,Government,1,0.9,-0.7,0
1,26,1,1,1,Finance,4.11,8,2,Financial Activities,1,0.7,0.5,1
1,24,0,0,1,Business,3.76,4,0,Manufacturing,1,0.5,-0.6,0
1,20,0,1,1,International Business,4.34,0,1,Construction,0,0.3,0.7,1
1,23,1,1,1,Accounting,3.62,7,2,Government,0,0.9,-0.7,1
1,22,1,1,0,Business,3.78,6,3,Financial Activities,0,0.5,0.5,1
1,25,1,0,1,International Business,3.42,3,3,Manufacturing,1,0.3,-0.6,1
1,28,1,1,1,Finance,3.49,3,2,Construction,0,0.7,0.7,1
1,18,1,1,1,Marketing,3.18,1,2,Information (Tech Sector),1,0.6,-0.5,1
1,24,0,0,1,Business,3.07,9,2,Healthcare & Social Assistance,1,0.5,1.0,1
0,24,0,1,1,Business,3.56,5,1,Educational Services,0,0.5,0.4,1
0,26,1,1,1,Information Systems,3.49,1,1,Healthcare & Social Assistance,1,0.9,1.0,1
0,25,1,1,1,Economics,3.18,9,2,Government,1,0.6,-0.7,1
1,22,0,0,1,Economics,3.23,3,3,Professional & Business Services,0,0.6,0.0,0
1,23,1,1,1,International Business,3.51,2,3,Government,1,0.3,-0.7,1
0,22,1,0,1,Information Systems,3.17,3,1,Transportation & Warehousing,0,0.9,0.8,0
1,27,1,1,1,Management,3.61,6,2,Construction,0,0.5,0.7,1
0,24,1,1,1,Data Analytics,3.18,1,3,Construction,1,1.0,0.7,1
0,30,1,0,1,Marketing,3.58,5,2,Information (Tech Sector),1,0.6,-0.5,1
0,24,0,1,1,Data Analytics,3.15,9,1,Healthcare & Social Assistance,1,1.0,1.0,1
1,22,1,1,1,Business,3.16,2,2,Information (Tech Sector),1,0.5,-0.5,0
1,19,1,1,1,Business Administration,2.79,3,2,Healthcare & Social Assistance,1,0.4,1.0,1
0,19,0,1,1,Accounting,3.45,4,2,Construction,0,0.9,0.7,1
1,19,1,1,1,Accounting,3.94,6,2,Government,1,0.9,-0.7,1
1,25,0,1,0,Information Systems,3.92,9,3,Professional & Business Services,1,0.9,0.0,1
1,26,0,1,0,Economics,3.6,4,1,Construction,1,0.6,0.7,0
0,19,1,0,1,Business Administration,2.9,1,1,Leisure & Hospitality,1,0.4,-0.8,0
1,27,0,1,1,Information Systems,3.75,3,2,Manufacturing,0,0.9,-0.6,1
1,23,1,0,1,Business,3.57,2,1,Healthcare & Social Assistance,1,0.5,1.0,1
1,24,0,1,1,Business Administration,3.38,7,3,Healthcare & Social Assistance,0,0.4,1.0,1
1,29,1,1,1,Accounting,3.86,0,1,Transportation & Warehousing,1,0.9,0.8,1
0,27,0,1,1,International Business,3.68,3,1,Information (Tech Sector),1,0.3,-0.5,1
1,23,0,1,1,Business,4.09,5,3,Educational Services,1,0.5,0.4,1
1,21,1,1,0,Information Systems,3.08,3,0,Financial Activities,1,0.9,0.5,1
0,18,1,0,1,Management,3.1,6,2,Educational Services,0,0.5,0.4,1
1,22,0,0,0,Finance,3.15,1,2,Transportation & Warehousing,1,0.7,0.8,0
1,23,0,0,0,Business,3.41,9,0,Financial Activities,0,0.5,0.5,1
1,21,1,1,1,Business,3.98,3,3,Construction,1,0.5,0.7,1
1,24,0,0,1,Management,3.31,9,0,Healthcare & Social Assistance,0,0.5,1.0,1
1,24,1,1,1,Marketing,3.32,3,2,Retail Trade,1,0.6,-0.2,1
1,23,1,1,1,International Business,3.63,8,0,Professional & Business Services,1,0.3,0.0,1
1,22,1,0,1,Management,3.75,2,0,Leisure & Hospitality,1,0.5,-0.8,0
0,25,1,1,1,Data Analytics,2.83,7,3,Government,1,1.0,-0.7,1
0,25,0,1,1,Data Analytics,3.81,3,2,Government,0,1.0,-0.7,1
1,21,1,1,0,Business,3.3,5,1,Educational Services,1,0.5,0.4,1
1,28,0,1,1,Marketing,3.47,7,2,Educational Services,1,0.6,0.4,1
1,24,1,1,0,Accounting,3.93,6,2,Financial Activities,1,0.9,0.5,1
1,24,1,1,1,Marketing,3.44,6,3,Transportation & Warehousing,1,0.6,0.8,1
1,26,1,0,0,Data Analytics,3.04,1,1,Healthcare & Social Assistance,0,1.0,1.0,1
1,25,1,1,1,Marketing,3.06,2,3,Information (Tech Sector),0,0.6,-0.5,1
0,27,1,1,1,Marketing,3.49,6,2,Government,0,0.6,-0.7,1
1,25,1,1,0,International Business,3.4,0,2,Healthcare & Social Assistance,1,0.3,1.0,0
1,22,1,1,1,Business,3.52,3,3,Financial Activities,0,0.5,0.5,1
1,25,1,1,1,International Business,3.38,2,1,Leisure & Hospitality,0,0.3,-0.8,1
1,21,1,1,1,Accounting,3.87,2,1,Professional & Business Services,1,0.9,0.0,0
1,24,1,0,1,Accounting,3.51,5,1,Professional & Business Services,1,0.9,0.0,1
1,24,0,0,1,Data Analytics,2.97,6,0,Government,0,1.0,-0.7,1
1,23,0,0,1,Information Systems,3.74,9,1,Retail Trade,1,0.9,-0.2,1
1,24,1,0,1,Management,4.07,4,2,Transportation & Warehousing,0,0.5,0.8,1
1,18,1,1,1,Economics,3.55,9,1,Government,1,0.6,-0.7,1
1,22,1,0,0,Business,3.57,7,1,Leisure & Hospitality,1,0.5,-0.8,1
1,24,0,1,1,Information Systems,3.27,9,1,Retail Trade,0,0.9,-0.2,1
1,24,1,1,1,Business,3.43,8,1,Manufacturing,0,0.5,-0.6,1
1,21,1,1,1,Management,3.65,7,1,Construction,1,0.5,0.7,1
1,28,1,1,1,Management,3.84,4,2,Educational Services,0,0.5,0.4,1
1,21,1,1,1,Business Administration,3.63,2,0,Educational Services,1,0.4,0.4,0
1,27,1,0,1,International Business,4.05,2,3,Retail Trade,0,0.3,-0.2,0
1,25,0,1,1,Data Analytics,3.53,10,1,Government,0,1.0,-0.7,1
1,22,1,1,1,Business Administration,3.16,10,3,Educational Services,0,0.4,0.4,1
1,29,0,1,1,Accounting,3.17,7,0,Financial Activities,1,0.9,0.5,1
1,20,1,1,0,Economics,3.87,9,2,Healthcare & Social Assistance,1,0.6,1.0,1
1,27,1,1,1,Data Analytics,3.8,9,2,Educational Services,0,1.0,0.4,1
1,27,0,1,1,Accounting,3.01,5,2,Professional & Business Services,1,0.9,0.0,1
1,22,1,1,0,Marketing,3.44,6,2,Educational Services,1,0.6,0.4,1
1,28,0,1,1,International Business,3.45,4,3,Manufacturing,0,0.3,-0.6,1
0,23,1,0,0,International Business,3.27,4,2,Transportation & Warehousing,1,0.3,0.8,1
1,25,1,1,1,International Business,3.08,0,2,Retail Trade,1,0.3,-0.2,1
1,25,0,1,0,Business Administration,3.27,4,3,Healthcare & Social Assistance,1,0.4,1.0,1
1,24,1,1,1,Finance,3.21,7,2,Manufacturing,1,0.7,-0.6,1
1,26,0,1,1,Information Systems,3.08,4,2,Professional & Business Services,1,0.9,0.0,1
1,26,1,0,1,Management,3.75,9,1,Government,0,0.5,-0.7,1
1,19,0,1,1,Economics,3.58,3,3,Construction,1,0.6,0.7,1
1,28,1,1,0,Management,3.36,1,1,Professional & Business Services,1,0.5,0.0,1
0,19,1,0,1,Finance,2.88,8,2,Retail Trade,0,0.7,-0.2,1
1,27,0,1,1,Marketing,3.41,7,0,Retail Trade,0,0.6,-0.2,1
1,27,0,1,1,Marketing,3.66,2,1,Retail Trade,0,0.6,-0.2,0
1,21,0,1,1,Marketing,3.28,5,2,Manufacturing,1,0.6,-0.6,1
1,23,0,0,1,Data Analytics,3.16,4,2,Retail Trade,0,1.0,-0.2,0
1,21,0,0,1,Accounting,3.46,9,1,Financial Activities,1,0.9,0.5,1
1,23,1,1,1,Accounting,3.6,6,1,Transportation & Warehousing,1,0.9,0.8,1
